lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
36.089,137.359,267.200,10.000,ER,4.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501765,hyu
33.418,137.271,360.700,10.000,ER,4.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501773,hyu
34.792,135.927,366.000,10.000,ER,4.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501789,hyu
33.268,137.596,349.000,10.000,ER,4.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501797,hyu
34.063,137.228,333.400,10.000,ER,4.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501801,hyu
34.155,136.902,358.200,10.000,ER,4.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501802,hyu
34.139,137.199,351.100,10.000,ER,4.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501805,hyu
34.802,136.734,341.400,10.000,ER,4.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501809,hyu
34.212,136.932,357.000,10.000,ER,4.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501817,hyu
36.346,138.669,165.800,10.000,ER,4.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501819,hyu
36.732,137.016,264.000,10.000,ER,4.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501822,hyu
36.317,138.269,181.800,10.000,ER,4.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501827,hyu
35.667,135.486,346.500,10.000,ER,5.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501835,hyu
33.772,136.722,394.500,10.000,ER,4.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501838,hyu
33.720,136.954,369.600,10.000,ER,4.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501844,hyu
33.692,138.127,285.500,10.000,ER,4.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501852,hyu
34.515,136.864,341.400,10.000,ER,4.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501861,hyu
35.664,137.288,262.200,10.000,ER,4.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501868,hyu
33.810,137.152,357.700,10.000,ER,4.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501870,hyu
33.501,137.176,357.300,10.000,ER,4.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501871,hyu
34.324,137.080,352.700,10.000,ER,4.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501877,hyu
34.413,136.265,376.300,10.000,ER,4.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501880,hyu
34.581,136.882,343.200,10.000,ER,4.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501882,hyu
34.817,138.363,208.100,10.000,ER,4.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501886,hyu
33.674,137.029,362.700,10.000,ER,4.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501894,hyu
34.154,138.652,201.600,10.000,ER,4.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501895,hyu
