lat,lon,depth
32.2493,136.8556,464.9989
32.2559,137.1088,452.2596
32.2636,137.3694,445.1077
32.2331,137.9626,383.5336
32.2438,138.2223,367.5517
32.2631,138.5392,352.8115
32.2754,138.7913,332.2727
32.2943,139.0463,312.6277
32.3165,139.2942,291.5955
32.3431,139.5534,272.2223
32.3266,139.6819,241.1752
32.4813,136.8903,468.3589
32.4797,137.1458,455.5659
32.4849,137.4043,446.9839
32.4916,137.9532,421.7291
32.4402,137.9783,380.2316
32.4499,138.2316,363.1397
32.4596,138.4926,343.1556
32.4760,138.7610,323.4592
32.4917,139.0176,303.2487
32.5110,139.2919,283.6779
32.5219,139.5184,261.5692
32.5138,139.6863,233.6933
32.7979,136.9171,466.1936
32.7702,137.1694,452.4647
32.7737,137.4319,444.7690
32.7612,137.6869,431.1681
32.7479,137.9486,414.3818
32.6770,138.0250,378.0743
32.6664,138.2207,355.3438
32.6759,138.4824,335.2387
32.6911,138.7421,314.7611
32.7051,139.0063,295.3880
32.7123,139.2734,275.5836
32.7183,139.5417,257.3501
32.6977,139.7106,230.1486
33.0235,137.1886,447.4860
33.0071,137.4324,435.7090
32.9872,137.6765,420.9011
32.9797,137.9489,406.3754
32.9453,138.1534,383.0442
32.8709,138.2024,345.6244
32.8770,138.4574,324.8192
32.8982,138.7403,306.3564
32.9100,139.0005,287.8940
32.9107,139.2658,269.3817
32.9058,139.5265,251.6739
32.8848,139.7282,228.1604
32.8519,139.8029,197.0404
33.2474,136.9322,449.6433
33.2340,137.1976,438.1829
33.2249,137.4401,425.9787
33.2107,137.6811,411.0772
33.2050,137.9434,396.1576
33.1884,138.1824,377.0729
33.1032,138.2480,340.9592
33.0974,138.5014,319.9839
33.0966,138.7535,299.9251
33.0973,139.0036,282.1656
33.0894,139.2423,263.0326
33.0818,139.5015,246.6339
33.0596,139.7182,225.7481
33.0316,139.8397,199.8366
33.4432,136.7242,443.9013
33.4626,136.9572,437.4630
33.4613,137.2121,425.6392
33.4624,137.4534,413.3096
33.4622,137.6962,399.5135
33.4522,137.9413,383.2430
33.4383,138.1755,364.8676
33.4026,138.3703,342.9199
33.3418,138.5509,316.9474
33.3027,138.7537,294.9272
33.2838,138.9932,277.5342
33.2671,139.2329,259.7951
33.2469,139.4651,242.9579
33.2158,139.7017,225.9500
33.1820,139.8537,204.1023
33.1603,139.9640,180.3340
33.6427,136.4899,439.9182
33.6181,136.7437,433.8504
33.6268,136.9877,425.4335
33.6306,137.2320,413.5486
33.6309,137.4714,400.3883
33.6368,137.7113,386.9007
33.6375,137.9610,372.1036
33.6303,138.1950,354.8633
33.6044,138.3843,335.0469
33.5651,138.5904,315.3011
33.5305,138.8183,298.0584
33.4954,139.0145,277.0251
33.4711,139.2035,255.4680
33.4579,139.4388,241.0417
33.4326,139.6500,223.7465
33.4059,139.8490,207.8411
33.3849,139.9700,185.8913
33.8231,136.3737,428.3246
33.7289,136.7267,424.2105
33.7211,137.0000,414.2247
33.7348,137.2424,404.7301
33.7361,137.4900,391.8557
33.7478,137.7381,379.6645
33.7526,137.9891,365.6183
33.7485,138.2186,348.5176
33.7339,138.3909,328.3618
33.7220,138.5898,310.1602
33.7117,138.8050,292.8772
33.6977,139.0111,272.9315
33.6893,139.2227,254.1871
33.6847,139.4252,237.6743
33.6809,139.6484,222.8714
33.6705,139.8203,204.6885
33.6620,139.9784,187.2816
34.1543,135.9125,394.5989
33.9945,136.1908,409.1163
33.9208,136.6786,417.0227
33.9010,137.0024,405.4751
33.9118,137.2324,396.9344
33.9148,137.5014,386.2344
33.9191,137.7367,372.0668
33.9254,137.9876,359.0259
33.9241,138.2215,342.8735
33.9144,138.3929,322.7337
33.9141,138.5967,305.2707
33.9156,138.8094,287.9954
33.9134,139.0280,269.7270
33.9080,139.2316,250.5314
33.9126,139.4476,235.7472
33.9102,139.6419,218.0698
33.9062,139.8139,199.9832
33.9023,139.9733,182.5555
33.8846,140.0906,159.2240
34.2856,135.7434,380.8421
34.2091,136.1225,390.4884
34.2340,136.6392,403.6478
34.2177,137.0014,396.7516
34.2095,137.2178,387.0784
34.2070,137.4922,376.6216
34.2015,137.7283,362.7301
34.2020,137.9697,349.3819
34.1909,138.1905,332.2219
34.1718,138.3657,312.4202
34.1712,138.5855,296.6117
34.1700,138.8052,280.3509
34.1629,139.0228,262.6177
34.1553,139.2339,244.7026
34.1504,139.4303,228.0363
34.1439,139.6332,211.4933
34.1325,139.8070,193.7545
34.1193,139.9627,175.7423
34.0814,140.0454,147.7706
34.4192,135.8663,388.9846
34.4554,135.7300,377.8193
34.4924,136.1341,379.9339
34.5262,136.6295,384.0918
34.5264,136.9737,381.8625
34.4927,137.1992,372.5496
34.4851,137.4790,363.2608
34.4758,137.7251,351.1723
34.4635,137.9576,337.1890
34.4557,138.1941,322.2584
34.4381,138.3857,304.5471
34.4068,138.5567,283.2375
34.4215,138.8015,270.2850
34.4141,139.0176,253.2658
34.3989,139.2152,234.6761
34.3962,139.4192,219.3839
34.3852,139.6160,202.7991
34.3731,139.7980,186.4544
34.3525,139.9505,168.1461
34.5646,136.0096,386.3698
34.5757,135.9525,385.7115
34.6726,135.8672,377.6280
34.7731,136.1971,376.8384
34.7983,136.6428,374.5879
34.7588,136.9460,367.3134
34.7370,137.1996,360.5010
34.7257,137.4814,351.1750
34.7066,137.7215,338.3866
34.6985,137.9630,325.8081
34.6859,138.1967,310.7621
34.6708,138.3970,294.3115
34.6516,138.5980,276.2523
34.6506,138.8167,260.8747
34.6317,139.0111,242.4494
34.6123,139.2017,223.9327
34.5991,139.3865,207.1437
34.5873,139.5834,191.3272
34.5735,139.7668,175.6614
34.5586,139.9406,160.2286
34.8081,135.8844,385.6703
34.8092,135.9970,381.6217
34.8399,136.0289,379.5288
34.9044,136.0067,373.6519
34.9652,136.2908,369.7129
34.9862,136.6691,365.1696
